0r,2191,2284,1463,1589,
1r,1806,1879,1419,1514,
2r,1909,2016,1168,1278,
3r,2284,2386,1156,1265,
4r,1767,1828,1132,1186,
5r,232,303,1115,1222,
6r,169,275,1072,1203,
7r,1945,2029,999,1090,
8r,2123,2290,996,1090,
9r,1621,1735,951,1053,
10r,514,652,839,983,
0b,1388,1519,1517,1610,
1b,2123,2172,1512,1603,
2b,1747,1803,1507,1590,
3b,1434,1508,1501,1561,
4b,629,796,1425,1588,
5b,987,1171,1419,1558,
6b,253,407,1404,1580,
7b,272,396,1435,1554,
